agent	before	after
artifact-validator	19326	19416
build-builder	19088	19052
code-dev-backend	21616	21578
code-dev-frontend	21550	21668
code-discovery-analyst	20182	20064
code-export-specialist	18966	18930
code-ops	20526	20418
code-planner	30736	30750
code-product-manager	23834	23802
code-prototype-builder	21444	21486
code-prototype-critic	21862	21860
code-researcher	24840	24886
code-reviewer	18066	18056
code-sage	19390	19404
code-tester-correctness	20726	20862
code-tester-e2e	24586	22834
code-tester-quality	21790	21746
code-tester-robustness	20362	20616
code-tester-security	23614	24074
